age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,93928,281,29,7.6,0,0,0.04,99.95,0
12-15,381727,305688,3296,60,48.1,0.5,58.52,41.47,0.02
16-19,519093,451659,211717,87.8,76.4,35.8,64.59,20.83,14.58
20-29,1113572,994926,662142,84.4,75.4,50.2,66.85,15.64,17.51
30-39,1062364,973651,668883,88,80.7,55.4,70.23,12.55,17.22
40-49,997107,926730,703358,89.8,83.4,63.3,76.33,10.48,13.19
50-59,791685,745795,611534,90.5,85.3,69.9,80.66,8.84,10.5
60-69,689964,663798,579991,92.3,88.8,77.6,85.64,7.62,6.74
70-79,477071,466660,439394,90.5,88.6,83.4,88.36,6.49,5.15
80-89,215881,210523,192300,90.4,88.2,80.6,85.35,7.41,7.24
90+,49145,47358,42160,83.7,80.7,71.8,75.78,11.34,12.88
