age,vaccinated_amount_cum,vaccinated_procces_amount_cum,not_vaccinated_amount_cum,Active_amount_vaccinated,Active_amount_vaccinated_procces,Active_amount_not_vaccinated,Active_vaccinated_normalized,Active_vaccinated_procces_normalized,Active_not_vaccinated_normalized,Serious_amount_vaccinated,Serious_amount_vaccinated_procces,Serious_amount_not_vaccinated,Serious_vaccinated_normalized,Serious_vaccinated_procces_normalized,Serious_not_vaccinated_normalized
12-15,189101,53269,375718,207,425,3644,109.5,797.8,969.9,0,0,1,0,0,0.3
16-19,430702,27524,125319,1908,106,1114,443,385.1,888.9,0,0,2,0,0,1.6
20-29,992805,43185,264371,6510,198,2247,655.7,458.5,849.9,2,0,3,0.2,0,1.1
30-39,969953,34287,192786,6676,145,1966,688.3,422.9,1019.8,4,0,18,0.4,0,9.3
40-49,927996,26303,144257,6231,80,1325,671.4,304.1,918.5,10,0,36,1.1,0,25
50-59,748770,17613,83583,4603,63,827,614.7,357.7,989.4,35,1,36,4.7,5.7,43.1
60-69,666351,10653,64635,3217,22,539,482.8,206.5,833.9,67,3,61,10.1,28.2,94.4
70-79,464756,5861,20167,2014,25,293,433.3,426.5,1452.9,83,6,36,17.9,102.4,178.5
80-89,209124,3902,12512,1063,13,167,508.3,333.2,1334.7,110,3,41,52.6,76.9,327.7
90+,46646,1759,3091,292,6,66,626,341.1,2135.2,22,1,18,47.2,56.9,582.3
