period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,102,223,14.07,30.76
3_Month,5-11,891,2637,11.43,33.84
6_Month,5-11,3227,11798,7.82,28.58
1_Year,5-11,4948,51261,0.98,10.17
All,5-11,4948,52897,0.68,7.31
1_Month,12-15,129,118,19.05,17.43
3_Month,12-15,652,693,16.37,17.4
6_Month,12-15,2254,2924,10.8,14.01
1_Year,12-15,8909,17562,3.72,7.33
All,12-15,8963,18843,2.59,5.44
1_Month,16-19,179,45,27.71,6.97
3_Month,16-19,1293,370,24.83,7.1
6_Month,16-19,3917,1291,18.33,6.04
1_Year,16-19,14720,9996,7.41,5.04
All,16-19,14924,11225,4.84,3.64
1_Month,20-29,495,86,25.97,4.51
3_Month,20-29,4227,917,24.08,5.22
6_Month,20-29,11911,3225,17.87,4.84
1_Year,20-29,37273,19198,8.59,4.42
All,20-29,37745,21692,5.77,3.32
1_Month,30-39,590,110,23.81,4.44
3_Month,30-39,4790,1196,22.51,5.62
6_Month,30-39,13668,4088,16.2,4.84
1_Year,30-39,36425,18211,7.59,3.79
All,30-39,36840,19975,5.56,3.02
1_Month,40-49,669,116,23.72,4.11
3_Month,40-49,4527,942,21.13,4.4
6_Month,40-49,12967,3161,15.17,3.7
1_Year,40-49,32809,13572,7.32,3.03
All,40-49,33180,14692,5.55,2.46
1_Month,50-59,569,81,18.24,2.6
3_Month,50-59,3490,587,16.4,2.76
6_Month,50-59,9312,1873,11.54,2.32
1_Year,50-59,21477,7447,6.69,2.32
All,50-59,21703,7981,5.15,1.89
1_Month,60-69,558,44,13.61,1.07
3_Month,60-69,2866,350,11.45,1.4
6_Month,60-69,7180,1063,8.13,1.2
1_Year,60-69,13939,3973,5.53,1.58
All,60-69,14098,4193,4.46,1.33
1_Month,70-79,473,29,9.69,0.59
3_Month,70-79,2038,168,8.28,0.68
6_Month,70-79,4630,462,5.82,0.58
1_Year,70-79,7296,1277,4.34,0.76
All,70-79,7384,1369,3.67,0.68
1_Month,80+,263,25,9.92,0.94
3_Month,80+,1518,158,10.14,1.06
6_Month,80+,3099,330,7.31,0.78
1_Year,80+,4665,768,5.5,0.91
All,80+,4744,835,4.43,0.78
