period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,144,265,20.6,37.91
3_Month,5-11,410,815,18.44,36.65
6_Month,5-11,1849,5396,11.66,34.04
1_Year,5-11,5318,51020,1.12,10.71
All,5-11,5347,53679,0.74,7.4
1_Month,12-15,247,133,35.95,19.36
3_Month,12-15,732,360,33.81,16.63
6_Month,12-15,1677,1419,20.6,17.43
1_Year,12-15,9385,17306,4.09,7.55
All,12-15,9681,19187,2.78,5.51
1_Month,16-19,875,104,48.96,5.82
3_Month,16-19,1974,249,45.66,5.76
6_Month,16-19,3896,798,31.92,6.54
1_Year,16-19,16235,9754,8.33,5.01
All,16-19,16862,11462,5.4,3.67
1_Month,20-29,2130,194,47.97,4.37
3_Month,20-29,4913,457,44.55,4.14
6_Month,20-29,11060,1916,29.36,5.09
1_Year,20-29,41075,18799,9.63,4.41
All,20-29,42532,22129,6.4,3.33
1_Month,30-39,2123,250,44.71,5.27
3_Month,30-39,4792,587,40.12,4.92
6_Month,30-39,11988,2490,26.68,5.54
1_Year,30-39,40370,18158,8.5,3.82
All,30-39,41477,20532,6.16,3.05
1_Month,40-49,2466,201,47.4,3.86
3_Month,40-49,5779,487,43.09,3.63
6_Month,40-49,12381,1994,26.81,4.32
1_Year,40-49,37742,13589,8.46,3.05
All,40-49,38796,15153,6.35,2.48
1_Month,50-59,2060,172,39.06,3.26
3_Month,50-59,4797,439,34.4,3.15
6_Month,50-59,9686,1335,21.13,2.91
1_Year,50-59,25718,7640,7.89,2.35
All,50-59,26341,8395,6.06,1.93
1_Month,60-69,1709,118,29.81,2.06
3_Month,60-69,3971,266,25.36,1.7
6_Month,60-69,7863,810,15.12,1.56
1_Year,60-69,17527,4118,6.71,1.58
All,60-69,17888,4445,5.41,1.34
1_Month,70-79,1174,62,21.14,1.12
3_Month,70-79,2713,140,17.45,0.9
6_Month,70-79,5373,395,10.77,0.79
1_Year,70-79,9786,1385,5.45,0.77
All,70-79,9966,1498,4.63,0.7
1_Month,80+,800,67,18.77,1.57
3_Month,80+,1826,157,17.01,1.46
6_Month,80+,3779,360,12.05,1.15
1_Year,80+,6378,910,6.81,0.97
All,80+,6499,989,5.55,0.85
