age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,361310,295144,635971,56.8,46.4,511,0.1
16-19,513739,445490,591331,86.9,75.3,192420,32.5
20-29,1103039,984278,1319364,83.6,74.6,623865,47.3
30-39,1055196,966579,1207243,87.4,80.1,636721,52.7
40-49,992333,921485,1110965,89.3,82.9,682550,61.4
50-59,788872,742192,874608,90.2,84.9,599137,68.5
60-69,688279,661460,747217,92.1,88.5,573161,76.7
70-79,476187,465404,526929,90.4,88.3,435525,82.7
80-89,215521,209901,238729,90.3,87.9,190566,79.8
90+,49031,47221,58687,83.5,80.5,41615,70.9
