period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,60,132,13.92,30.63
3_Month,5-11,658,1785,12.37,33.55
6_Month,5-11,3204,11620,8.09,29.36
1_Year,5-11,4970,51248,0.99,10.23
All,5-11,4970,52932,0.69,7.32
1_Month,12-15,91,54,23.27,13.81
3_Month,12-15,563,517,18.25,16.76
6_Month,12-15,2259,2882,11.26,14.37
1_Year,12-15,8949,17558,3.74,7.34
All,12-15,9006,18854,2.6,5.44
1_Month,16-19,202,37,32.42,5.94
3_Month,16-19,996,259,26.43,6.87
6_Month,16-19,3932,1272,18.99,6.14
1_Year,16-19,14807,9981,7.46,5.03
All,16-19,15014,11228,4.87,3.64
1_Month,20-29,507,81,28.37,4.53
3_Month,20-29,3119,641,24.7,5.08
6_Month,20-29,11899,3188,18.48,4.95
1_Year,20-29,37452,19198,8.64,4.43
All,20-29,37926,21719,5.79,3.32
1_Month,30-39,565,104,25.67,4.73
3_Month,30-39,3625,837,23.34,5.39
6_Month,30-39,13612,4045,16.87,5.01
1_Year,30-39,36607,18202,7.63,3.79
All,30-39,37035,20003,5.59,3.02
1_Month,40-49,650,98,26.35,3.97
3_Month,40-49,3553,702,22.17,4.38
6_Month,40-49,13000,3121,15.84,3.8
1_Year,40-49,33053,13583,7.37,3.03
All,40-49,33429,14722,5.58,2.46
1_Month,50-59,571,63,20.23,2.23
3_Month,50-59,2785,418,17.08,2.56
6_Month,50-59,9343,1852,11.97,2.37
1_Year,50-59,21676,7455,6.74,2.32
All,50-59,21906,7999,5.19,1.89
1_Month,60-69,608,35,15.98,0.92
3_Month,60-69,2404,263,12.26,1.34
6_Month,60-69,7272,1051,8.49,1.23
1_Year,60-69,14158,3980,5.59,1.57
All,60-69,14317,4201,4.51,1.32
1_Month,70-79,459,27,10.63,0.63
3_Month,70-79,1750,128,8.85,0.65
6_Month,70-79,4702,459,6.04,0.59
1_Year,70-79,7430,1280,4.4,0.76
All,70-79,7519,1373,3.72,0.68
1_Month,80+,268,24,10.82,0.97
3_Month,80+,1312,130,10.97,1.09
6_Month,80+,3138,326,7.55,0.78
1_Year,80+,4741,774,5.55,0.91
All,80+,4820,841,4.48,0.78
