age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,8,21,62,154.2,9.4,6.6,0,0,0,0,0,0
12-15,8,50,17,148.7,15.4,6.1,0,0,0,0,0,0
16-19,10,193,20,286.1,44,14.6,0,0,0,0,0,0
20-29,13,458,53,132.8,40.9,31.7,0,0,2,0,0,1.2
30-39,15,406,57,142.4,38.4,45.9,0,0,0,0,0,0
40-49,13,495,51,96.4,50,53.7,0,1,0,0,0.1,0
50-59,22,529,43,122.2,66.5,82.5,0,3,4,0,0.4,7.7
60-69,73,1003,53,272.3,152.3,96.2,0,9,4,0,1.4,7.3
70-79,106,1104,68,347.1,231.1,663.8,1,19,6,3.3,4,58.6
80+,62,860,70,407.2,346.2,481,2,27,8,13.1,10.9,55
