period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,233,653,11.63,32.58
3_Month,5-11,2681,9759,8.66,31.51
6_Month,5-11,3440,15165,4.27,18.82
1_Year,5-11,4707,51516,0.82,8.97
All,5-11,4707,52320,0.65,7.25
1_Month,12-15,163,178,16.32,17.82
3_Month,12-15,1737,2319,11.8,15.75
6_Month,12-15,2591,3781,6.58,9.6
1_Year,12-15,8670,17813,3.34,6.86
All,12-15,8691,18606,2.52,5.39
1_Month,16-19,390,99,25.13,6.38
3_Month,16-19,3302,1081,19.84,6.5
6_Month,16-19,4594,1705,11.87,4.4
1_Year,16-19,14493,10428,6.83,4.92
All,16-19,14637,11143,4.76,3.63
1_Month,20-29,1336,281,23.68,4.98
3_Month,20-29,10173,2787,19.4,5.31
6_Month,20-29,14375,4227,12.14,3.57
1_Year,20-29,36679,20253,7.9,4.36
All,20-29,36945,21555,5.67,3.31
1_Month,30-39,1465,379,22.38,5.79
3_Month,30-39,11582,3532,17.88,5.45
6_Month,30-39,15825,5128,11.12,3.6
1_Year,30-39,35597,18903,6.97,3.7
All,30-39,35828,19775,5.44,3
1_Month,40-49,1421,291,21.05,4.31
3_Month,40-49,10894,2686,16.7,4.12
6_Month,40-49,14502,3881,10.38,2.78
1_Year,40-49,31836,13921,6.82,2.98
All,40-49,32070,14491,5.41,2.44
1_Month,50-59,1078,167,15.97,2.47
3_Month,50-59,7722,1609,12.46,2.6
6_Month,50-59,10217,2325,8.41,1.91
1_Year,50-59,20659,7555,6.32,2.31
All,50-59,20811,7859,5,1.89
1_Month,60-69,871,133,11.1,1.69
3_Month,60-69,5832,909,8.66,1.35
6_Month,60-69,7456,1288,6.28,1.08
1_Year,60-69,13158,3972,5.22,1.58
All,60-69,13278,4123,4.28,1.33
1_Month,70-79,646,58,8.3,0.75
3_Month,70-79,3671,387,6.08,0.64
6_Month,70-79,4395,503,4.57,0.52
1_Year,70-79,6650,1260,4.06,0.77
All,70-79,6710,1332,3.46,0.69
1_Month,80+,566,58,11.18,1.15
3_Month,80+,2532,265,7.68,0.8
6_Month,80+,2960,344,6.04,0.7
1_Year,80+,4291,742,5.18,0.9
All,80+,4354,800,4.22,0.77
