age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,24.9,17,0,0,23.12,76.87,0
12-15,65.4,54.2,13.9,0,54.99,39.38,5.63
16-19,89.2,77.9,45.3,0.1,69.61,19.88,10.52
20-29,85.5,76.7,54.1,0.4,73.35,14.2,12.45
30-39,88.9,81.7,59.1,1.1,76.46,11.43,12.1
40-49,90.5,84.4,66.4,1.8,80.9,9.6,9.5
50-59,91,86.1,72.6,3.4,84.12,7.87,8.01
60-69,92.7,89.7,80,28.5,87.39,7.23,5.39
70-79,90.8,89.3,85.7,46.8,90.61,5.06,4.33
80-89,90.8,89,83.2,48.9,88.19,5.46,6.34
90+,84.3,81.6,75.6,46.7,81.75,6,12.25
