age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,11911,9,40101,4350.9,,4403.3,0,0,5,0,,0.5
12-15,13545,1592,8861,4003.5,4572,3655.4,1,0,4,0.3,0,1.7
16-19,12994,2332,4195,3234.8,3833.6,3655.5,3,0,3,0.7,0,2.6
20-29,24128,5239,7114,2545,3250.1,3874.5,4,2,6,0.4,1.2,3.3
30-39,30950,6099,7877,3417.1,4245.6,5813.7,7,3,13,0.8,2.1,9.6
40-49,30388,3906,5931,3431.7,3750.8,5642.3,12,5,19,1.4,4.8,18.1
50-59,20138,2113,3442,2767.8,3044.2,5053.6,47,15,48,6.5,21.6,70.5
60-69,17682,1551,2724,2726.5,3866.5,5077.4,112,29,84,17.3,72.3,156.6
70-79,10071,746,1484,2121.8,3283.3,5595.8,146,31,119,30.8,136.4,448.7
80-89,4978,338,880,2390.2,2254.4,6819.1,166,36,140,79.7,240.1,1084.9
90+,1681,102,328,3599.4,1456.5,9562.7,54,10,52,115.6,142.8,1516
