age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,360398,293567,635971,56.7,46.2,497,0.1
16-19,512937,444576,591331,86.7,75.2,190576,32.2
20-29,1101460,983115,1319364,83.5,74.5,619237,46.9
30-39,1054294,965751,1207243,87.3,80,632929,52.4
40-49,991678,920834,1110965,89.3,82.9,680111,61.2
50-59,788472,741768,874608,90.2,84.8,597589,68.3
60-69,688049,661213,747217,92.1,88.5,572314,76.6
70-79,476042,465268,526929,90.3,88.3,435043,82.6
80-89,215454,209836,238729,90.3,87.9,190302,79.7
90+,49015,47205,58687,83.5,80.4,41511,70.7
