age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.1,17.6,0,0,23.7,76.3,0
12-15,65.5,54.5,14.6,0,43.9,41.5,14.6
16-19,89.2,78.1,45.8,0.2,64.5,21.9,13.6
20-29,85.5,77,54.6,0.7,72.7,13.6,13.7
30-39,88.9,81.9,59.6,1.8,75.8,10.7,13.5
40-49,90.5,84.6,66.9,3.1,80.1,9.3,10.7
50-59,91.2,86.5,73.2,6.5,83.9,7.3,8.8
60-69,93.1,90.2,80.7,33,86.9,8,5.1
70-79,92,90.6,87.2,53.4,91,5.4,3.6
80+,95.2,93.2,87.4,57.2,88.7,6.5,4.8
