period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,198,1066,3.18,17.1
3_Month,5-11,786,6666,1.21,10.29
6_Month,5-11,1940,40528,0.42,8.79
1_Year,5-11,1940,41983,0.33,7.15
All,5-11,1940,42197,0.28,6.13
1_Month,12-15,185,258,5.39,7.52
3_Month,12-15,1094,1772,3.51,5.69
6_Month,12-15,6885,14883,3.12,6.74
1_Year,12-15,6944,15895,2.66,6.09
All,12-15,6944,16125,2.11,4.9
1_Month,16-19,212,87,8.59,3.53
3_Month,16-19,1558,737,5.68,2.69
6_Month,16-19,11049,8770,6.17,4.9
1_Year,16-19,11230,9748,5.42,4.71
All,16-19,11241,10025,3.88,3.46
1_Month,20-29,669,206,8.55,2.63
3_Month,20-29,4749,1642,6.28,2.17
6_Month,20-29,26102,16142,6.98,4.32
1_Year,20-29,26528,18242,6,4.13
All,20-29,26555,18689,4.45,3.13
1_Month,30-39,781,257,7.19,2.37
3_Month,30-39,4777,1770,5.36,1.99
6_Month,30-39,23620,14328,5.83,3.53
1_Year,30-39,23983,15847,5.05,3.34
All,30-39,24029,16159,4.07,2.74
1_Month,40-49,676,184,6.22,1.69
3_Month,40-49,4083,1337,4.8,1.57
6_Month,40-49,20607,10580,5.52,2.84
1_Year,40-49,20904,11497,4.9,2.7
All,40-49,20949,11728,3.99,2.24
1_Month,50-59,475,100,5,1.05
3_Month,50-59,2772,787,4.21,1.2
6_Month,50-59,12710,5665,5.08,2.27
1_Year,50-59,12873,6048,4.6,2.16
All,50-59,12916,6208,3.68,1.77
1_Month,60-69,343,55,3.41,0.55
3_Month,60-69,1684,406,3.11,0.75
6_Month,60-69,7165,2973,4.1,1.7
1_Year,60-69,7267,3111,3.76,1.61
All,60-69,7293,3190,3.05,1.33
1_Month,70-79,194,24,2.4,0.3
3_Month,70-79,735,135,2.03,0.37
6_Month,70-79,2876,841,2.96,0.87
1_Year,70-79,2939,884,2.74,0.82
All,70-79,2957,931,2.27,0.71
1_Month,80+,132,21,3.47,0.55
3_Month,80+,435,85,2.66,0.52
6_Month,80+,1712,462,3.67,0.99
1_Year,80+,1759,484,3.34,0.92
All,80+,1783,529,2.58,0.77
