age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,344,0,704,120.1,,76.2,0,0,0,0,,0
12-15,271,144,157,98.8,157.4,60.4,0,0,1,0,0,0.4
16-19,294,57,55,77.9,71.3,42.8,0,0,0,0,0,0
20-29,941,112,167,98.8,62.1,93.9,1,0,1,0.1,0,0.6
30-39,1190,156,196,130.7,96,151.8,0,1,1,0,0.6,0.8
40-49,1365,117,151,154,99.1,147.5,0,1,3,0,0.8,2.9
50-59,1234,69,120,168.9,89.7,189.5,5,1,3,0.7,1.3,4.7
60-69,1796,62,153,278.1,162.3,257.3,12,1,4,1.9,2.6,6.7
70-79,1715,39,136,362.5,209.3,481,18,0,3,3.8,0,10.6
80+,969,33,91,391.5,246.5,497.7,13,1,7,5.3,7.5,38.3
