age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,110426,486,30,8.9,0,0,0.06,99.94,0
12-15,384270,306587,4471,60.4,48.2,0.7,58.53,41.45,0.02
16-19,519609,452170,213839,87.9,76.5,36.2,64.89,20.78,14.33
20-29,1114699,995997,665709,84.5,75.5,50.5,67.18,15.53,17.29
30-39,1063138,974440,672156,88.1,80.7,55.7,70.52,12.47,17.02
40-49,997686,927346,705574,89.8,83.5,63.5,76.54,10.41,13.05
50-59,792017,746189,612867,90.6,85.3,70.1,80.84,8.76,10.4
60-69,690191,664066,580770,92.4,88.9,77.7,85.73,7.58,6.69
70-79,477174,466822,439809,90.6,88.6,83.5,88.52,6.37,5.12
80-89,215913,210564,192442,90.4,88.2,80.6,85.47,7.31,7.22
90+,49151,47369,42194,83.8,80.7,71.9,76.03,11.09,12.88
