age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,468,0,880,162.4,,95.5,0,0,0,0,,0
12-15,334,177,172,119.4,201.3,66.6,0,0,0,0,0,0
16-19,460,68,79,120.6,88.5,61.9,1,0,1,0.3,0,0.8
20-29,1283,165,236,134.3,92.8,132.5,0,0,2,0,0,1.1
30-39,1713,204,258,187.6,126.7,200.7,1,0,3,0.1,0,2.3
40-49,1719,142,206,193.6,121.2,202.9,0,2,5,0,1.7,4.9
50-59,1572,105,132,215.1,137.6,206.8,4,1,7,0.5,1.3,11
60-69,2438,89,186,377.1,235.1,315.1,21,3,5,3.2,7.9,8.5
70-79,2205,63,150,466.9,342,510.9,29,3,5,6.1,16.3,17
80+,1482,53,165,598.7,398.3,902.4,37,2,9,14.9,15,49.2
