period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,213,1067,3.91,19.57
3_Month,5-11,754,5335,1.55,10.96
6_Month,5-11,2031,40830,0.44,8.88
1_Year,5-11,2031,42335,0.35,7.19
All,5-11,2031,42566,0.29,6.16
1_Month,12-15,182,273,5.82,8.74
3_Month,12-15,847,1453,3.5,6.01
6_Month,12-15,6906,14966,3.12,6.76
1_Year,12-15,6968,16016,2.66,6.11
All,12-15,6968,16270,2.11,4.92
1_Month,16-19,200,79,9.34,3.69
3_Month,16-19,1274,615,5.89,2.85
6_Month,16-19,11131,8790,6.19,4.89
1_Year,16-19,11319,9778,5.44,4.7
All,16-19,11330,10059,3.9,3.46
1_Month,20-29,568,187,8.78,2.89
3_Month,20-29,4172,1428,6.4,2.19
6_Month,20-29,26318,16197,7,4.31
1_Year,20-29,26757,18315,6.02,4.12
All,20-29,26788,18770,4.47,3.13
1_Month,30-39,648,247,7.46,2.84
3_Month,30-39,4221,1585,5.52,2.07
6_Month,30-39,23841,14401,5.84,3.53
1_Year,30-39,24218,15932,5.06,3.33
All,30-39,24270,16251,4.09,2.74
1_Month,40-49,610,171,6.69,1.87
3_Month,40-49,3587,1189,4.87,1.61
6_Month,40-49,20813,10644,5.53,2.83
1_Year,40-49,21129,11573,4.91,2.69
All,40-49,21189,11809,4.01,2.24
1_Month,50-59,417,74,5.12,0.91
3_Month,50-59,2463,717,4.16,1.21
6_Month,50-59,12872,5696,5.08,2.25
1_Year,50-59,13045,6083,4.61,2.15
All,50-59,13091,6246,3.69,1.76
1_Month,60-69,323,56,3.71,0.64
3_Month,60-69,1629,378,3.18,0.74
6_Month,60-69,7302,2993,4.1,1.68
1_Year,60-69,7414,3132,3.77,1.59
All,60-69,7447,3216,3.06,1.32
1_Month,70-79,175,23,2.36,0.31
3_Month,70-79,728,117,2.03,0.33
6_Month,70-79,2956,850,2.94,0.85
1_Year,70-79,3022,893,2.73,0.81
All,70-79,3042,942,2.27,0.7
1_Month,80+,109,17,3.4,0.53
3_Month,80+,429,76,2.67,0.47
6_Month,80+,1753,465,3.65,0.97
1_Year,80+,1798,488,3.32,0.9
All,80+,1827,533,2.59,0.76
