age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.1,17.6,0,0,23.5,76.4,0.1
12-15,65.6,54.5,14.6,0,43.4,41.8,14.8
16-19,89.2,78.1,45.8,0.2,64,22,14
20-29,85.6,77,54.6,0.8,72.4,13.5,14
30-39,88.9,81.9,59.6,1.9,75.5,10.7,13.8
40-49,90.5,84.6,66.9,3.2,79.8,9.2,11
50-59,91.2,86.5,73.2,6.6,83.7,7.2,9.2
60-69,93.1,90.2,80.7,33.1,86.7,8,5.4
70-79,92,90.6,87.2,53.6,91.1,5.2,3.7
80+,95.2,93.2,87.4,57.3,88.6,6.4,4.9
