instituteDesc,occupancy,gOccupancy,occupancyDate
Rabin K. HaSharon             ,54.4,78,2022-05-31T00:00:00.000Z
HACARMEL HOSPITAL             ,64.2,89,2022-05-31T00:00:00.000Z
SOROKA MEDICAL CENTER         ,72.1,80.8,2022-05-31T00:00:00.000Z
YOSEPHTAL HOSPITAL            ,75,67.7,2022-05-31T00:00:00.000Z
Hadassah Mount Scopus         ,77.8,80.6,2022-05-31T00:00:00.000Z
WOOLFSON MEDICAL CENTER       ,78.7,78,2022-05-31T00:00:00.000Z
MEIR HOSPITAL                 ,82,85.3,2022-05-31T00:00:00.000Z
Shmuel HaRofe                 ,83.3,77.7,2022-05-31T00:00:00.000Z
PORIAH HOSPITAL               ,85.9,76.9,2022-05-31T00:00:00.000Z
BNEI ZIOM MEDICAL CENTER      ,87.6,85.9,2022-05-31T00:00:00.000Z
Laniado                       ,87.2,110.3,2022-05-31T00:00:00.000Z
BARZILAI MEDICAL CENTER       ,90.1,80.3,2022-05-31T00:00:00.000Z
ASSAF HAROFEH MEDICAL CENTER  ,91.9,74.2,2022-05-31T00:00:00.000Z
KAPLAN HOSPITAL               ,93.3,92.8,2022-05-31T00:00:00.000Z
TEL AVIV MEDICAL CENTER       ,98,114.3,2022-05-31T00:00:00.000Z
HILLEL YAFFEH MEDICAL CENTER  ,99.3,95.9,2022-05-31T00:00:00.000Z
      ZIV HOSPITAL            ,100,73.5,2022-05-31T00:00:00.000Z
NAHARIYA                      ,100.5,94.1,2022-05-31T00:00:00.000Z
Rambam                        ,104,90.9,2022-05-31T00:00:00.000Z
HAEMEK VALLEY CENTER HOSPITAL ,105.8,78.3,2022-05-31T00:00:00.000Z
Shaare Zedek                  ,106,107.7,2022-05-31T00:00:00.000Z
Hadassah Ein Kerem            ,116.5,93.9,2022-05-31T00:00:00.000Z
Rabin K. Beilinson            ,120.7,104.9,2022-05-31T00:00:00.000Z
Assuta Ashdod                 ,132.2,145.7,2022-05-31T00:00:00.000Z
,,41,2022-05-31T00:00:00.000Z
