age,vaccinated_amount_cum,vaccinated_procces_amount_cum,not_vaccinated_amount_cum,Active_amount_vaccinated,Active_amount_vaccinated_procces,Active_amount_not_vaccinated,Active_vaccinated_normalized,Active_vaccinated_procces_normalized,Active_not_vaccinated_normalized,Serious_amount_vaccinated,Serious_amount_vaccinated_procces,Serious_amount_not_vaccinated,Serious_vaccinated_normalized,Serious_vaccinated_procces_normalized,Serious_not_vaccinated_normalized
12-15,198664,66982,352442,267,598,4321,134.4,892.8,1226,0,0,1,0,0,0.3
16-19,433827,31422,118296,2393,163,1429,551.6,518.7,1208,0,0,1,0,0,0.8
20-29,995277,44740,260344,8219,262,2823,825.8,585.6,1084.3,2,2,13,0.2,4.5,5
30-39,971960,35996,189070,8288,189,2460,852.7,525.1,1301.1,4,0,19,0.4,0,10
40-49,930157,27862,140537,7383,102,1666,793.7,366.1,1185.5,10,0,47,1.1,0,33.4
50-59,750322,18471,81173,4959,80,1008,660.9,433.1,1241.8,36,1,43,4.8,5.4,53
60-69,667365,10953,63321,2854,46,661,427.7,420,1043.9,78,4,72,11.7,36.5,113.7
70-79,465397,5941,19446,1643,23,374,353,387.1,1923.3,86,5,62,18.5,84.2,318.8
80-89,209413,3969,12156,1004,18,203,479.4,453.5,1670,99,3,53,47.3,75.6,436
90+,46705,1793,2998,300,11,78,642.3,613.5,2601.7,25,1,18,53.5,55.8,600.4
