age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
12-15,56,0,427,15.9,0,168.7,0,0,0,0,0,0
16-19,37,63,165,10.4,68.7,135.8,0,0,0,0,0,0
20-29,90,176,373,10.9,74.5,177.1,0,2,4,0,0.8,1.9
30-39,144,209,377,17.9,98.3,245.1,0,0,12,0,0,7.8
40-49,138,149,315,16.9,98.6,265.8,1,0,25,0.1,0,21.1
50-59,62,54,173,9,57.4,214.6,1,2,34,0.1,2.1,42.2
60-69,63,41,101,10,79.7,173.1,5,3,31,0.8,5.8,53.1
70-79,53,17,61,11.6,61.5,161,6,1,12,1.3,3.6,31.7
80-89,32,11,38,16,63.5,201.7,3,0,8,1.5,0,42.5
90+,3,3,5,7,41,69.7,0,0,3,0,0,41.8
