age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,24.9,17.2,0,0,23.77,76.23,0
12-15,65.4,54.2,14,0,54.74,39.37,5.89
16-19,89.3,78,45.4,0.1,69.71,19.89,10.4
20-29,85.6,76.7,54.1,0.4,73.65,14.14,12.21
30-39,89,81.8,59.2,1.2,76.82,11.4,11.78
40-49,90.5,84.4,66.5,2.1,81.17,9.56,9.26
50-59,91.1,86.2,72.7,4.1,84.33,7.81,7.86
60-69,92.7,89.7,80.1,29.1,87.51,7.21,5.29
70-79,90.9,89.3,85.8,47.4,90.81,4.92,4.27
80-89,90.8,89,83.3,49.6,88.37,5.34,6.29
90+,84.4,81.7,75.7,47.5,82.1,5.7,12.2
