age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,11924,9,35834,4197.6,,3932.7,0,0,2,0,,0.2
12-15,12154,1759,7862,3597.6,4835.5,3235.3,2,0,2,0.6,0,0.8
16-19,10905,1958,3273,2707.4,3259.5,2847.8,4,0,3,1,0,2.6
20-29,20234,4302,5824,2123.8,2723.7,3184.7,4,0,4,0.4,0,2.2
30-39,26891,5176,6637,2952.9,3706.7,4912.6,6,1,11,0.7,0.7,8.1
40-49,26630,3322,5082,2995.9,3275,4852.8,14,10,21,1.6,9.9,20.1
50-59,16575,1728,2954,2271.4,2539.5,4373.9,48,13,46,6.6,19.1,68.1
60-69,14662,1242,2344,2256.8,3163.9,4381.4,100,23,75,15.4,58.6,140.2
70-79,9126,626,1317,1918,2800.3,5107.8,136,30,94,28.6,134.2,364.6
80-89,4714,327,867,2257.9,2201.3,6876,118,25,124,56.5,168.3,983.4
90+,1610,92,318,3431.5,1319.8,9760.6,48,6,43,102.3,86.1,1319.8
