period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,337,936,12.11,33.63
3_Month,5-11,2693,9844,8.57,31.31
6_Month,5-11,3458,15396,4.14,18.45
1_Year,5-11,4692,51584,0.8,8.84
All,5-11,4692,52278,0.65,7.25
1_Month,12-15,209,223,15.97,17.04
3_Month,12-15,1743,2345,11.57,15.57
6_Month,12-15,2625,3839,6.47,9.46
1_Year,12-15,8663,17916,3.3,6.81
All,12-15,8679,18596,2.52,5.39
1_Month,16-19,497,133,25.36,6.79
3_Month,16-19,3297,1081,19.6,6.42
6_Month,16-19,4623,1718,11.63,4.32
1_Year,16-19,14481,10530,6.74,4.9
All,16-19,14603,11134,4.76,3.63
1_Month,20-29,1681,362,23.48,5.06
3_Month,20-29,10139,2777,19.13,5.24
6_Month,20-29,14367,4236,11.97,3.53
1_Year,20-29,36605,20413,7.78,4.34
All,20-29,36818,21524,5.66,3.31
1_Month,30-39,1931,494,22.4,5.73
3_Month,30-39,11550,3536,17.63,5.4
6_Month,30-39,15802,5135,10.97,3.56
1_Year,30-39,35498,18997,6.87,3.68
All,30-39,35704,19749,5.43,3
1_Month,40-49,1791,387,20.67,4.47
3_Month,40-49,10846,2699,16.43,4.09
6_Month,40-49,14462,3886,10.23,2.75
1_Year,40-49,31718,13974,6.73,2.96
All,40-49,31929,14471,5.39,2.44
1_Month,50-59,1371,218,16.11,2.56
3_Month,50-59,7716,1600,12.31,2.55
6_Month,50-59,10206,2314,8.33,1.89
1_Year,50-59,20588,7556,6.26,2.3
All,50-59,20727,7838,4.99,1.89
1_Month,60-69,1112,153,11.04,1.52
3_Month,60-69,5825,900,8.54,1.32
6_Month,60-69,7408,1279,6.22,1.07
1_Year,60-69,13095,3969,5.18,1.57
All,60-69,13209,4109,4.27,1.33
1_Month,70-79,785,68,8.11,0.7
3_Month,70-79,3657,383,5.98,0.63
6_Month,70-79,4352,505,4.54,0.53
1_Year,70-79,6602,1253,4.03,0.77
All,70-79,6658,1323,3.45,0.68
1_Month,80+,699,74,11.04,1.17
3_Month,80+,2510,264,7.55,0.79
6_Month,80+,2917,343,5.97,0.7
1_Year,80+,4248,742,5.12,0.89
All,80+,4309,798,4.19,0.78
