age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.7,0.2,0,0.6,80.1,19.3
12-15,65.7,54.7,15,0,1.3,45,53.7
16-19,89.3,78.3,46,0.2,1,23.2,75.8
20-29,85.6,77.2,54.8,0.9,1.3,13.1,85.6
30-39,89,82,59.8,2.1,1.5,10.5,88
40-49,90.6,84.8,67.1,3.5,1.9,8.8,89.3
50-59,91.2,86.6,73.3,7.3,3,6.3,90.7
60-69,93.2,90.3,80.9,34.2,4.1,7.6,88.4
70-79,92.1,90.7,87.4,54.7,4.5,2.9,92.6
80+,95.3,93.3,87.6,58.2,3.8,5.8,90.4
