age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,362058,296366,635971,56.9,46.6,520,0.1
16-19,514249,446109,591331,87,75.4,194283,32.9
20-29,1104066,985223,1319364,83.7,74.7,628336,47.6
30-39,1055850,967245,1207243,87.5,80.1,640330,53
40-49,992799,921970,1110965,89.4,83,684793,61.6
50-59,789121,742478,874608,90.2,84.9,600504,68.7
60-69,688412,661677,747217,92.1,88.6,573835,76.8
70-79,476253,465519,526929,90.4,88.3,435916,82.7
80-89,215550,209947,238729,90.3,87.9,190722,79.9
90+,49039,47227,58687,83.6,80.5,41657,71
