period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,61,142,13.56,31.56
3_Month,5-11,594,1511,13.03,33.15
6_Month,5-11,3192,11531,8.21,29.67
1_Year,5-11,4979,51266,1,10.25
All,5-11,4979,52959,0.69,7.32
1_Month,12-15,96,52,24.55,13.3
3_Month,12-15,539,477,19.14,16.94
6_Month,12-15,2256,2862,11.47,14.55
1_Year,12-15,8965,17557,3.75,7.34
All,12-15,9022,18862,2.6,5.44
1_Month,16-19,211,36,33.71,5.75
3_Month,16-19,894,216,26.73,6.46
6_Month,16-19,3922,1258,19.27,6.18
1_Year,16-19,14831,9983,7.48,5.03
All,16-19,15039,11234,4.87,3.64
1_Month,20-29,553,83,30.55,4.59
3_Month,20-29,2720,532,25.11,4.91
6_Month,20-29,11822,3168,18.69,5.01
1_Year,20-29,37516,19200,8.65,4.43
All,20-29,37992,21732,5.8,3.32
1_Month,30-39,609,107,26.77,4.7
3_Month,30-39,3170,723,23.61,5.39
6_Month,30-39,13575,4033,17.12,5.09
1_Year,30-39,36688,18205,7.65,3.8
All,30-39,37118,20016,5.6,3.02
1_Month,40-49,710,103,28.01,4.06
3_Month,40-49,3247,615,22.91,4.34
6_Month,40-49,12991,3115,16.09,3.86
1_Year,40-49,33153,13589,7.39,3.03
All,40-49,33530,14736,5.6,2.46
1_Month,50-59,613,72,20.96,2.46
3_Month,50-59,2529,368,17.44,2.54
6_Month,50-59,9350,1843,12.16,2.4
1_Year,50-59,21755,7463,6.76,2.32
All,50-59,21986,8007,5.2,1.9
1_Month,60-69,628,36,16.43,0.94
3_Month,60-69,2205,234,12.54,1.33
6_Month,60-69,7279,1046,8.62,1.24
1_Year,60-69,14222,3982,5.61,1.57
All,60-69,14383,4203,4.53,1.32
1_Month,70-79,478,25,11.24,0.59
3_Month,70-79,1653,114,9.11,0.63
6_Month,70-79,4715,456,6.13,0.59
1_Year,70-79,7478,1281,4.42,0.76
All,70-79,7567,1374,3.74,0.68
1_Month,80+,292,25,11.82,1.01
3_Month,80+,1199,112,11.04,1.03
6_Month,80+,3159,329,7.68,0.8
1_Year,80+,4783,779,5.59,0.91
All,80+,4862,846,4.51,0.78
