period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,267,730,12.05,32.94
3_Month,5-11,2686,9825,8.59,31.43
6_Month,5-11,3434,15155,4.26,18.82
1_Year,5-11,4701,51558,0.81,8.92
All,5-11,4701,52310,0.65,7.25
1_Month,12-15,179,190,16.38,17.38
3_Month,12-15,1739,2337,11.66,15.67
6_Month,12-15,2587,3778,6.58,9.6
1_Year,12-15,8670,17857,3.32,6.84
All,12-15,8687,18603,2.52,5.39
1_Month,16-19,426,111,25.19,6.56
3_Month,16-19,3310,1085,19.74,6.47
6_Month,16-19,4584,1704,11.85,4.41
1_Year,16-19,14489,10485,6.79,4.91
All,16-19,14627,11142,4.76,3.63
1_Month,20-29,1436,297,23.66,4.89
3_Month,20-29,10197,2784,19.29,5.27
6_Month,20-29,14347,4214,12.13,3.56
1_Year,20-29,36670,20328,7.86,4.36
All,20-29,36917,21542,5.67,3.31
1_Month,30-39,1574,414,22.29,5.86
3_Month,30-39,11594,3544,17.75,5.43
6_Month,30-39,15780,5119,11.11,3.6
1_Year,30-39,35561,18948,6.93,3.69
All,30-39,35783,19766,5.44,3
1_Month,40-49,1521,311,20.95,4.28
3_Month,40-49,10897,2702,16.58,4.11
6_Month,40-49,14453,3876,10.36,2.78
1_Year,40-49,31800,13950,6.78,2.98
All,40-49,32021,14486,5.4,2.44
1_Month,50-59,1163,177,16.17,2.46
3_Month,50-59,7744,1608,12.39,2.57
6_Month,50-59,10193,2317,8.4,1.91
1_Year,50-59,20641,7558,6.3,2.31
All,50-59,20786,7852,5,1.89
1_Month,60-69,944,135,11.21,1.6
3_Month,60-69,5844,904,8.61,1.33
6_Month,60-69,7434,1281,6.27,1.08
1_Year,60-69,13136,3972,5.21,1.58
All,60-69,13253,4118,4.28,1.33
1_Month,70-79,691,60,8.31,0.72
3_Month,70-79,3679,384,6.05,0.63
6_Month,70-79,4380,500,4.57,0.52
1_Year,70-79,6640,1256,4.05,0.77
All,70-79,6698,1327,3.46,0.69
1_Month,80+,604,60,11.2,1.11
3_Month,80+,2531,265,7.63,0.8
6_Month,80+,2944,344,6.02,0.7
1_Year,80+,4275,743,5.16,0.9
All,80+,4338,800,4.21,0.78
